csas_reference_id,year,extracted_title,reference,priority_for_scope_audit,priority_reason,corpus_match_status,matched_corpus_id,matched_corpus_title,match_score,match_method,manual_audit_note
CSAS-014,2007,Sponges of the marine karst lakes and of the coast of the islands of Ha Long Bay (North Vietnam),"Azzini, F., Calcinai, B., Cerrano, C., Bavestrello, G., and Pansini, M. 2007. Sponges of the marine karst lakes and of the coast of the islands of Ha Long Bay (North Vietnam). In Porifera Research: Biodiversity, Innovation and Sustainability. Edited by M.R. Custodia, G. Lobo-Hajdu, E. Hajdu, and G. Muricy. Universidade Federal do Rio de Janeiro. pp. 157– 164.",NO,,PRESENT,CWC-7A0051883470,Sponges,0.861,fuzzy title/year,
CSAS-015,2015,Comparative biometry and isotopy of three dominant pennatulacean corals in the Northwest Atlantic,"Baillon, S., English, M., Hamel, J.-F. and Mercier, A. 2015. Comparative biometry and isotopy of three dominant pennatulacean corals in the Northwest Atlantic. Acta Zoologica. 97(4): 475– 493.",NO,,PRESENT,CWC-105D3EA801A8,Corals,0.859,fuzzy title/year,
CSAS-016,2014,"Diversity, distribution and nature of faunal associations with deep-sea pennatulacean corals in the Northwest Atlantic","Baillon, S., Hamel, J.F., and Mercier, A. 2014. Diversity, distribution and nature of faunal associations with deep-sea pennatulacean corals in the Northwest Atlantic. PLoS ONE. 9(11): e111519.",NO,,PRESENT,CWC-105D3EA801A8,Corals,0.858,fuzzy title/year,
CSAS-017,2012,Deep cold-water corals as nurseries for fish larvae,"Baillon, S., Hamel, J.F., Wareham, V.E., and Mercier, A. 2012. Deep cold-water corals as nurseries for fish larvae. Front. Ecol. Environ.10: 351–356.",NO,,PRESENT,CWC-ACDCA5569427,Deep cold‐water corals as nurseries for fish larvae,1.0,normalized title contained in CSAS reference,
CSAS-018,2016,Comparative biometry and isotopy of three dominant pennatulacean corals in the Northwest Atlantic,"Baillon, S., English, M., Hamel, J.F., and Mercier, A. 2016. Comparative biometry and isotopy of three dominant pennatulacean corals in the Northwest Atlantic. Acta Zoological (Stockholm). 97: 475–493.",NO,,PRESENT,CWC-105D3EA801A8,Corals,0.859,fuzzy title/year,
CSAS-019,2019,"Small-scale patterns in the distribution and condition of bamboo coral, Keratoisis grayi, in submarine canyons on the Grand Banks, Newfoundland","Baker, K.D, Snelgrove, P.V.R., Fifield, D.A., Edinger, E.E., Wareham, V.E., Haedrich, R.L., and Gilkinson, K.D. 2019. Small-scale patterns in the distribution and condition of bamboo coral, Keratoisis grayi, in submarine canyons on the Grand Banks, Newfoundland. Front. Mar. Sci. 3(674): 1–10.",NO,,NOT FOUND,,,0.387,no match above 0.84 threshold within publication year +/- 1,
CSAS-020,2012,"Distributional patterns of deep-sea coral assemblages in three submarine canyons off Newfoundland, Canada","Baker, K.D., Wareham, V.E., Snelgrove, V.R., Haedrich, R.L., Fifield, D.A., Edinger, E.N., and Gilkinson, K.D. 2012. Distributional patterns of deep-sea coral assemblages in three submarine canyons off Newfoundland, Canada. Mar. Ecol. Prog. Ser. 445: 235–249.",NO,,PRESENT,CWC-17CE689084E7,"Distributional patterns of deep-sea coral assemblages in three submarine canyons off Newfoundland, Canada",1.0,normalized title contained in CSAS reference,
CSAS-021,2012,Toxicity assessment of individual ingredients of synthetic-based drilling muds (SBMs),"Bakhtyar, S., and Gagnon, M.M. 2012. Toxicity assessment of individual ingredients of synthetic-based drilling muds (SBMs). Environ. Monit. Assess. 184: 5311–5325.",NO,,NOT FOUND,,,0.316,no match above 0.84 threshold within publication year +/- 1,
CSAS-022,2013,Environmental impacts of produced water and drilling waste discharges from the Norwegian offshore petroleum industry,"Bakke, T., Klungsøyr, J., and Sanni, S. 2013. Environmental impacts of produced water and drilling waste discharges from the Norwegian offshore petroleum industry. Mar. Environ. Res. 92: 154–169.",NO,,PRESENT,CWC-311E311FECBC,Environmental impacts of produced water and drilling waste discharges from the Norwegian offshore petroleum industry,1.0,normalized title contained in CSAS reference,
CSAS-023,2012,Suspended sediment grain size and mineralogy across the continental shelf of the Great Barrier Reef: Impacts on the physiology of a coral reef sponge,"Bannister, R.J., Battershill, C.N., and de Nys, R. 2012. Suspended sediment grain size and mineralogy across the continental shelf of the Great Barrier Reef: Impacts on the physiology of a coral reef sponge. Cont. Shelf Res. 32: 86–95.",YES,"Organism: coral, sponge; exposure/impact: sediment",PRESENT,CWC-6A83F026EEB4,Suspended sediment grain size and mineralogy across the continental shelf of the Great Barrier Reef: Impacts on the physiology of a coral reef sponge,1.0,normalized title contained in CSAS reference,
CSAS-024,1983,Illustrated trilingual glossary of morphological and anatomical terms applied to Octocorallia. E.J,"Bayer, F., Grasshoff, M., and Verseveldt, J. 1983. Illustrated trilingual glossary of morphological and anatomical terms applied to Octocorallia. E.J. Brill, Dr. W. Backhuys, Leiden, the Netherlands. 75 p.",NO,,NOT FOUND,,,0.286,no match above 0.84 threshold within publication year +/- 1,
