csas_reference_id,year,extracted_title,reference,priority_for_scope_audit,priority_reason,corpus_match_status,matched_corpus_id,matched_corpus_title,match_score,match_method,manual_audit_note
CSAS-066,2009,US GODAE: Global Ocean Prediction with the HYbrid Coordinate Ocean Model (HYCOM),"Chassignet, E.P., Hurlburt, H.E., Metzger, E.J., Smedstad, O.M., Cummings, J.A., Halliwell, G.R., Bleck, R., Baraille, R., Wallcraft, A.J., Lozano, C., Tolman, H.L., Srinivasan, A., Hankin, S., Cornillon, P., Weisberg, R., Barth, A., He, R., Werner, F., and Wilkin, J. 2009. US GODAE: Global Ocean Prediction with the HYbrid Coordinate Ocean Model (HYCOM). Oceanography, 22(2): 64–75.",NO,,NOT FOUND,,,0.273,no match above 0.84 threshold within publication year +/- 1,
CSAS-067,2018,ROV vs trawling approaches in the study of benthic communities: The case of Pennatula rubra (Cnidaria: Pennatulacea). J,"Chimienti, G., Angeletti, L., Rizzo, L., Tursi, A. and Mastrototaro, F. 2018. ROV vs trawling approaches in the study of benthic communities: The case of Pennatula rubra (Cnidaria: Pennatulacea). J. Mar. Biol. Asso. Uni. King. 98(8), 1859–1869.",NO,,NOT FOUND,,,0.37,no match above 0.84 threshold within publication year +/- 1,
CSAS-068,1981,Habitat Requirements and Expected Distribution of Alaska Coral,"Cimberg, R.L., Gerrodette, T., and Muzik, K. 1981. Habitat Requirements and Expected Distribution of Alaska Coral. Report Prepared for Office of Marine Pollution Assessment, Alaska Office. Research Unit #601.",NO,,NOT FOUND,,,0.429,no match above 0.84 threshold within publication year +/- 1,
CSAS-069,2016,The impacts of deep-sea fisheries on benthic communities: a review,"Clark, M.R., Althaus, F., Schlacher, T.A., Williams, A., Bowden, D.A., and Rowden, A.A. 2016. The impacts of deep-sea fisheries on benthic communities: a review. ICES J. Mar. Sci. 73 (Supplement I): i51-i69.",NO,,PRESENT,CWC-AAE2437C7211,The impacts of deep-sea fisheries on benthic communities: a review,1.0,normalized title contained in CSAS reference,
CSAS-070,1994,Use of artificial reef structures to rehabilitee reef flats degraded by coral mining in the Maldives,"Clark, S., and Edwards, A.J. 1994. Use of artificial reef structures to rehabilitee reef flats degraded by coral mining in the Maldives. Bull. Mar. Sci. 55(2–3): 724–744.",NO,,NOT FOUND,,,0.485,no match above 0.84 threshold within publication year +/- 1,
CSAS-071,2018,C-NLOPB Remarks to National Advisory Panel on Marine Protected Area Standards.Accessed 20 October 2019,C-NLOPB. 2018. C-NLOPB Remarks to National Advisory Panel on Marine Protected Area Standards.Accessed 20 October 2019.,NO,,PRESENT,CWC-CEE8BCFEDAF3,Распределение таксонов макрозообентоса - потенциальных индикаторов уязвимых морских экосистем в западной части Берингова моря. 1. Анадырский район,0.851,fuzzy title/year,
CSAS-072,2019,Mapping Information and Shapefiles,C-NLOPB. 2019a. Mapping Information and Shapefiles. Accessed 20 October 2019.,NO,,NOT FOUND,,,0.286,no match above 0.84 threshold within publication year +/- 1,
CSAS-073,2019,Schedule of Wells Summary,C-NLOPB. 2019b. Schedule of Wells Summary. Accessed 20 October 2019.,NO,,NOT FOUND,,,0.286,no match above 0.84 threshold within publication year +/- 1,
CSAS-074,2019,Guidelines and Interpretation Notes,C-NLOPB. 2019c. Guidelines and Interpretation Notes. Accessed 20 October 2019.,NO,,NOT FOUND,,,0.286,no match above 0.84 threshold within publication year +/- 1,
CSAS-075,2019,"June 22, 2018 Incident Bulletin Update: Unauthorized Discharge of Drilling Mud","C-NSOPB. 2019. June 22, 2018 Incident Bulletin Update: Unauthorized Discharge of Drilling Mud. Accessed 20 October 2019.",NO,,NOT FOUND,,,0.235,no match above 0.84 threshold within publication year +/- 1,
CSAS-076,1989,Pre-drilling and post-drilling surveys for Pensacola Area Block 996,Continental Shelf Associates (CSA). 1989. Pre-drilling and post-drilling surveys for Pensacola Area Block 996. Prepared for Texaco Producing Inc. 38 p.,NO,,NOT FOUND,,,0.25,no match above 0.84 threshold within publication year +/- 1,
CSAS-077,2016,Environmental impacts of the deep-water oil and gas industry: A review to guide management strategies,"Cordes, E.E., Jones, D.O.B., Schlacher, T.A., Amon, D.J., Bernadino, A.F., Brooke, S., Carney, R., DeLeo, D.M., Dunlop, K.M., Escobar-Briones, E.G., Gates, A.R., Génio, L., Gobin, J., Henry, L.A., Herrera, S., Hoyt, S., Joye, M., Kark, S., Mestre, N.C., Metaxas, A., Pfeifer, S., Sink, K., Sweetman, A.K., and Witte, U. 2016. Environmental impacts of the deep-water oil and gas industry: A review to guide management strategies. Front. Environ. Sci. 4:58.",NO,,PRESENT,CWC-13E01BD1A7E6,Environmental Impacts of the Deep-Water Oil and Gas Industry: A Review to Guide Management Strategies,1.0,normalized title contained in CSAS reference,
CSAS-078,2005,Role of cold-water Lophelia pertusa coral reefs as fish habitat in the NE Atlantic,"Costello, M.J., McCrea, M., Freiwald, A., Lundalv, T., Jonsson, L., Bet, B.J., Van Weering, T.C.E., De Haas, H., Roberts, J.M., and Allen, D. 2005. Role of cold-water Lophelia pertusa coral reefs as fish habitat in the NE Atlantic. In Cold-water Corals and Ecosystems. Edited by A. Freiwald and J.M. Roberts. Springer-Verlag, Heidelberg. pp. 771–805.",NO,,PRESENT,CWC-87D8B84BF222,Role of cold-water Lophelia pertusa coral reefs as fish habitat in the NE Atlantic,1.0,normalized title contained in CSAS reference,
CSAS-079,2005,"Impact of exploratory offshore drilling on benthic communities in the Minerva gas field, Port Campbell, Australia","Currie, D.R., and Isaacs, L.R. 2005. Impact of exploratory offshore drilling on benthic communities in the Minerva gas field, Port Campbell, Australia. Mar. Environ. Res. 59: 217– 233.",NO,,PRESENT,CWC-732CE625B3E0,"Impact of exploratory offshore drilling on benthic communities in the Minerva gas field, Port Campbell, Australia",1.0,normalized title contained in CSAS reference,
CSAS-080,2018,DFO Can,"Cyr, F., Colbourne, E., Galbraith, P.S., Gibb, O., Snook, O., Bishop, C., Chen, N., Han, G., and Senciall, D. 2020 Physical Oceanographic Conditions on the Newfoundland and Labrador Shelf during 2018. DFO Can. Sci. Advis. Sec. Res. Doc. 2020/018. iv + 48 p.",NO,,NOT FOUND,,,0.182,no match above 0.84 threshold within publication year +/- 1,
CSAS-081,1994,Differential sensitivity of macrozoobenthic species to discharges of oil contaminated drill cuttings in the North Sea. J,"Daan, R., Mulder, M., and Van Leeuwen, A. 1994. Differential sensitivity of macrozoobenthic species to discharges of oil contaminated drill cuttings in the North Sea. J. Sea Res. 33(1): 113–127.",NO,,NOT FOUND,,,0.4,no match above 0.84 threshold within publication year +/- 1,
CSAS-082,2019,The Diversity and Ecological Role of Non-scleractinian Corals (Antipatharia and Alcyonacea) on Scleractinian Cold-Water Coral Mounds,"De Clippele, L.H., Huvenne, V.A.I., Molodtsova, T.N., and Roberts, J.M. 2019.The Diversity and Ecological Role of Non-scleractinian Corals (Antipatharia and Alcyonacea) on Scleractinian Cold-Water Coral Mounds. Front. Mar. Sci. 6:184.",NO,,PRESENT,CWC-E172CE6709C0,The Diversity and Ecological Role of Non-scleractinian Corals (Antipatharia and Alcyonacea) on Scleractinian Cold-Water Coral Mounds,1.0,normalized title contained in CSAS reference,
CSAS-083,2016,Response of deep-water corals to oil and chemical dispersant exposure. Deep-Sea Research II. 129: 137–147,"DeLeo, D.M., Ruiz-Ramos, D.V., Baums, I.B., and Cordes, E.E. 2016. Response of deep-water corals to oil and chemical dispersant exposure. Deep-Sea Research II. 129: 137–147.",NO,,PRESENT,CWC-685B71681F27,Response of deep-water corals to oil and chemical dispersant exposure,1.0,normalized title contained in CSAS reference,
CSAS-084,2013,Identification of Additional Ecologically and Biologically Significant Areas (EBSAs) within the Newfoundland and Labrador Shelves Bioregion,DFO. 2013. Identification of Additional Ecologically and Biologically Significant Areas (EBSAs) within the Newfoundland and Labrador Shelves Bioregion. DFO Can. Sci. Advis. Sec. Sci. Advis. Rep. 2013/048.,NO,,NOT FOUND,,,0.276,no match above 0.84 threshold within publication year +/- 1,
CSAS-085,2018,Review of the Environmental Impact Statements For The Flemish Pass Exploration Drilling Project and the Eastern Newfoundland Offshore Exploration Drilling Project,DFO. 2018. Review of the Environmental Impact Statements For The Flemish Pass Exploration Drilling Project and the Eastern Newfoundland Offshore Exploration Drilling Project. DFO Can. Sci. Advis. Sec. Sci. Resp. 2018/026.,NO,,NOT FOUND,,,0.333,no match above 0.84 threshold within publication year +/- 1,
CSAS-086,2019,Fish and Fish Habitat Protection Policy Statement,DFO 2019a. Fish and Fish Habitat Protection Policy Statement. Accessed 1 September 2020.,NO,,NOT FOUND,,,0.364,no match above 0.84 threshold within publication year +/- 1,
CSAS-087,2019,List of marine refuges,DFO. 2019b. List of marine refuges. Accessed 20 October 2019.,NO,,NOT FOUND,,,0.5,no match above 0.84 threshold within publication year +/- 1,
CSAS-088,2019,Re-evaluation of the Placentia Bay-Grand Banks Area to Identify Ecologically and Biologically Significant Areas,DFO. 2019c. Re-evaluation of the Placentia Bay-Grand Banks Area to Identify Ecologically and Biologically Significant Areas. DFO Can. Sci. Advis. Sec. Sci. Advis. Rep. 2019/040.,NO,,NOT FOUND,,,0.312,no match above 0.84 threshold within publication year +/- 1,
CSAS-089,2019,Assessment of the Effectiveness of Mitigation Measures in Reducing the Potential Impacts of Oil and Gas Exploration and Production on Areas with Defined Benthic Conservation Objectives,DFO. 2019d. Assessment of the Effectiveness of Mitigation Measures in Reducing the Potential Impacts of Oil and Gas Exploration and Production on Areas with Defined Benthic Conservation Objectives. DFO Can. Sci. Advis. Sec. Sci. Advis. Rep. 2019/025.,NO,,NOT FOUND,,,0.421,no match above 0.84 threshold within publication year +/- 1,
CSAS-090,2020,Review of the Impact Assessment Agency’s Draft Regional Assessment of Offshore Oil and Gas Exploratory Drilling East of Newfoundland and Labrador,DFO. 2020. Review of the Impact Assessment Agency’s Draft Regional Assessment of Offshore Oil and Gas Exploratory Drilling East of Newfoundland and Labrador. DFO Can. Sci. Advis. Sec. Sci. Resp. 2020/033.,NO,,NOT FOUND,,,0.414,no match above 0.84 threshold within publication year +/- 1,
CSAS-091,2019,Sponges of the Gulf of St. Lawrence: Field and Laboratory Guide,"Dinn, C. 2019. Sponges of the Gulf of St. Lawrence: Field and Laboratory Guide. Fisheries and Oceans Canada – Gulf Fisheries Centre, Moncton, N.B. 102 p.",NO,,PRESENT,CWC-02E0112E62A5,Sponges,0.867,fuzzy title/year,
CSAS-092,2018,Field guide to sponges of the Eastern Canadian Arctic Version 1.0,"Dinn, C., and Leys, S.P. 2018. Field guide to sponges of the Eastern Canadian Arctic Version 1.0. Department of Biological Sciences, University of Alberta, Edmonton, AB.",NO,,PRESENT,CWC-02E0112E62A5,Sponges,0.866,fuzzy title/year,
CSAS-093,2019,Offshore Petroleum Activity Mapping Application,DNR. 2019. Offshore Petroleum Activity Mapping Application. Available from: Accessed 20 October 2019).,NO,,NOT FOUND,,,0.286,no match above 0.84 threshold within publication year +/- 1,
CSAS-094,2013,Monitoring of Drilling Activities in Areas with Presence of Cold Water Corals,"DNV. 2013. Monitoring of Drilling Activities in Areas with Presence of Cold Water Corals. Report No./DNV Reg No.: 2012-1691/12NCQKD-2. Rev 01, 2013-01-15. 27 p.",YES,Organism: coral; exposure/impact: drilling,NOT FOUND,,,0.444,no match above 0.84 threshold within publication year +/- 1,
CSAS-095,1982,Effects of Drilling Mud on the Reef-Building Coral Montastrea annularis,"Dodge, R.E. 1982. Effects of Drilling Mud on the Reef-Building Coral Montastrea annularis. Mar. Biol. 71: 141–147.",YES,"Organism: coral; exposure/impact: drilling, drilling mud",PRESENT,CWC-2CE5EB8EAB8A,Effects of drilling mud on the reef-building coral Montastrea annularis,1.0,normalized title contained in CSAS reference,
CSAS-096,2001,An overview of offshore oil and gas exploration and production activities,DTI. 2001. An overview of offshore oil and gas exploration and production activities. Accessed 20 October 2019).,NO,,NOT FOUND,,,0.414,no match above 0.84 threshold within publication year +/- 1,
CSAS-097,2015,Effects of submarine power transmission cables on a glass sponge reef and associated megafaunal community,"Dunham, A., Pegg, J.R., Carolsfeld, W., Davies, S., Murfitt, I., and Boutillier, J. 2015. Effects of submarine power transmission cables on a glass sponge reef and associated megafaunal community. Mar. Environ. Res. 107: 50–60.",NO,,PRESENT,CWC-137568E9579A,Effects of submarine power transmission cables on a glass sponge reef and associated megafaunal community,1.0,normalized title contained in CSAS reference,
CSAS-098,2016,Sub-lethal effects of water-based drilling muds on the deep-water sponge Geodia barretti,"Edge, K.J., Johnston, E.L., Daffom, K.A., Simpson, S.L., Kutti, T., and Bannister, R.J. 2016. Sub-lethal effects of water-based drilling muds on the deep-water sponge Geodia barretti. Environ. Pollut. 212: 525–534.",YES,"Organism: sponge, deep-water sponge; exposure/impact: drilling, drilling mud",PRESENT,CWC-F2591A201364,Sub-lethal effects of water-based drilling muds on the deep-water sponge Geodia barretti,1.0,normalized title contained in CSAS reference,"Validator example; confirmed present in the 43,307-record corpus but not selected for the 409-record calibration sample."
CSAS-099,2007,Coldwater corals off Newfoundland and Labrador: Distribution and Fisheries Impacts. WWF-Canada. 41 p,"Edinger, E., Baker, K., Devillers, R., and Wareham, V. 2007. Coldwater corals off Newfoundland and Labrador: Distribution and Fisheries Impacts. WWF-Canada. 41 p.",NO,,NOT FOUND,,,0.37,no match above 0.84 threshold within publication year +/- 1,
CSAS-100,2009,Relationships between deep-sea corals and groundfish,"Edinger, E., Wareham, V, Baker, K., and Haedrich, R. 2009. Relationships between deep-sea corals and groundfish. In The ecology of deep-sea corals of Newfoundland and Labrador waters: biogeography, life history, biogeochemistry, and relation to fishes. Edited by K. Gilkinson and E. Edinger. Can. Tech. Rep. Fish. Aquat. Sci. No. 2830.",NO,,NOT FOUND,,,0.429,no match above 0.84 threshold within publication year +/- 1,
CSAS-101,2011,Geological features supporting deep-sea coral habitat in Atlantic Canada,"Edinger, E.N., Sherwood, O.A., Piper, D.J.W., Wareham, V.E., Baker, K.D., Gilkinson, K.D., and Scott, D.B. 2011. Geological features supporting deep-sea coral habitat in Atlantic Canada. Cont. Shelf Res. 31: S69–S84.",NO,,PRESENT,CWC-C481379F8C8F,Geological features supporting deep-sea coral habitat in Atlantic Canada,1.0,normalized title contained in CSAS reference,
CSAS-102,2007,Coordinated contractions effectively expel waterfrom the aquiferous system of a fresh water sponge. J,"Elliott, G. and Leys, S.P. 2007. Coordinated contractions effectively expel waterfrom the aquiferous system of a fresh water sponge. J. Exp. Biol. 210: 3736–3748",NO,,NOT FOUND,,,0.815,no match above 0.84 threshold within publication year +/- 1,
CSAS-103,2012,Discharged drilling waste from oil and gas platforms and its effect on benthic communities,"Ellis, J.I., Fraser, G., and Russell, J. 2012. Discharged drilling waste from oil and gas platforms and its effect on benthic communities. Mar. Ecol. Prog. Ser. 456: 285–302.",NO,,PRESENT,CWC-4302DEA42090,Discharged drilling waste from oil and gas platforms and its effects on benthic communities,0.923,fuzzy title/year,
CSAS-104,2002,Deep Panuke Offshore Gas Development – Comprehensive Study Report. 546 p,EnCana Energy Corporation. 2002. Deep Panuke Offshore Gas Development – Comprehensive Study Report. 546 p.,NO,,NOT FOUND,,,0.182,no match above 0.84 threshold within publication year +/- 1,
CSAS-105,2001,Effects of crustacean traps on benthic fauna,"Eno, N.C., MacDonald, D.S., Kinnear, J.A.M., Amos, C.S., Chapman, C.J., Clark, R.A., Bunker, Francis St., P.D., and Munro, C. 2001. Effects of crustacean traps on benthic fauna. ICES J. Mar. Sci. 58: 11–20.",NO,,PRESENT,CWC-2720B34C014D,Effects of crustacean traps on benthic fauna,1.0,normalized title contained in CSAS reference,
CSAS-106,2002,Environmental best management practice guideline for concreting contractors,"EPA. 2002. Environmental best management practice guideline for concreting contractors. Environmental Protection Authority, Sydney South, Sydney. 21 p.",NO,,NOT FOUND,,,0.375,no match above 0.84 threshold within publication year +/- 1,
CSAS-107,2011,ArcGIS Desktop: Release 10,"ESRI 2011. ArcGIS Desktop: Release 10. Environmental Systems Research Institute. Redlands, CA.",NO,,NOT FOUND,,,0.2,no match above 0.84 threshold within publication year +/- 1,
CSAS-108,2017,Eastern Newfoundland Offshore Exploration Drilling Project (CEAR 80132) - Environmental Impact Statement,"ExxonMobil Canada Ltd. 2017. Eastern Newfoundland Offshore Exploration Drilling Project (CEAR 80132) - Environmental Impact Statement. Prepared by Amec Foster Wheeler and Stantec Consulting. St. John’s, NL. 1483 p.",NO,,PRESENT,CWC-034B5B194DB6,C,0.851,fuzzy title/year,
CSAS-109,2018,"Impact of particulate sediment, bentonite and barite (oil-drilling waste) on net fluxes of oxygen and nitrogen in Arctic-boreal sponges","Fang, J.K.H., Rooks, C.A., Krogness, C.M., Kutti, T., Hoffmann, F., and Bannister, R.J. 2018. Impact of particulate sediment, bentonite and barite (oil-drilling waste) on net fluxes of oxygen and nitrogen in Arctic-boreal sponges. Environ. Pollut. 238: 948–958.",YES,"Organism: sponge; exposure/impact: sediment, drilling",PRESENT,CWC-D962354BD236,"Impact of particulate sediment, bentonite and barite (oil-drilling waste) on net fluxes of oxygen and nitrogen in Arctic-boreal sponges",1.0,normalized title contained in CSAS reference,
CSAS-110,2009,International guidelines for the management of deep-sea fisheries in the high seas,"FAO. 2009. International guidelines for the management of deep-sea fisheries in the high seas. Food and Agriculture Organization of the United Nations, Rome. Accessed 30 October 2019.",NO,,NOT FOUND,,,0.417,no match above 0.84 threshold within publication year +/- 1,
CSAS-111,1976,Side Scan Sonar: A Practical Guide,"Flemming, B.W. 1976. Side Scan Sonar: A Practical Guide. International Hydrographic Review. 28 p.",NO,,NOT FOUND,,,0.182,no match above 0.84 threshold within publication year +/- 1,
CSAS-112,2019,"Application of Hyperspectral Imaging to Underwater Habitat Mapping, Southern Adriatic Sea","Foglini, F., Grande, V., Marchese, F., Bracchi, V.A., Prampolini, M., Angeletti, L., Castellan, G., Chimienti, G., Hansen, I.M., Gudmundsen, M., Meroni, A.N., Mercorella, A., Vertino, A., Badalamenti, F., Corselli, C., Erdal, E., Martorelli, E., Savini, A., and Taviani, M. 2019. Application of Hyperspectral Imaging to Underwater Habitat Mapping, Southern Adriatic Sea. Sensors. 19: 2261.",NO,,NOT FOUND,,,0.455,no match above 0.84 threshold within publication year +/- 1,
CSAS-113,2005,"Shallow-water Desmophyllum dianthus (Scleractinia) from Chile: characteristics of the biocoenoses and the bioeroding community, heterotrophic interactions and (paleo)-bathymetric implications","Försterra, G., Beuck, L., Häussermann, V., and Freiwald, A. 2005. Shallow-water Desmophyllum dianthus (Scleractinia) from Chile: characteristics of the biocoenoses and the bioeroding community, heterotrophic interactions and (paleo)-bathymetric implications. In Cold-water Corals and Ecosystems. Edited by A. Freiwald and J.M. Roberts. Springer- Verlag, Heidelberg. pp. 771–805, 937–977.",NO,,PRESENT,CWC-3143549B8BE9,Cold-Water Corals and Ecosystems,1.0,normalized title contained in CSAS reference,
CSAS-114,2003,"Juvenile Red Rockfish, Sebastes sp., Associations with Sponges in the Gulf of Alaska","Freese, J.L., and Wing, B.L. 2003. Juvenile Red Rockfish, Sebastes sp., Associations with Sponges in the Gulf of Alaska. Marine Fisheries Review, 65(3): 38–42.",NO,,NOT FOUND,,,0.56,no match above 0.84 threshold within publication year +/- 1,
CSAS-115,2004,"Cold-water Coral Reefs. UNEP-WCMC, Cambridge, UK. 87 p","Freiwald, A., Fosså, J.H., Grehan, A., Koslow, T., and Roberts, J.M. 2004. Cold-water Coral Reefs. UNEP-WCMC, Cambridge, UK. 87 p.",NO,,NOT FOUND,,,0.48,no match above 0.84 threshold within publication year +/- 1,
CSAS-116,2005,Cold-water corals and ecosystems,"Freiwald, A., and Roberts, J.M. (eds). 2005. Cold-water corals and ecosystems. Spring Berlin Heidelberg, New York. 1242 p.",NO,,PRESENT,CWC-3143549B8BE9,Cold-Water Corals and Ecosystems,1.0,normalized title contained in CSAS reference,
CSAS-117,1887,Sponges from the Atlantic and Arctic Oceans and the Behring Sea. Vega- Expeditionens Vetenskap,"Fristedt, K. 1887. Sponges from the Atlantic and Arctic Oceans and the Behring Sea. Vega- Expeditionens Vetenskap. Iakttagelser (Nordenskiöld) 4. 401–471, pls 22–31.",NO,,NOT FOUND,,,0.231,no match above 0.84 threshold within publication year +/- 1,
CSAS-118,2011,Diversity of Marine Sponges in the Northwest Atlantic,"Fuller, S.D. 2011. Diversity of Marine Sponges in the Northwest Atlantic. PhD thesis, Department of Biology, Dalhousie University, Halifax, N.S. 229 p.",NO,,PRESENT,CWC-59D061AB7610,Diversity of Marine Sponges in the Northwest Atlantic,1.0,normalized title contained in CSAS reference,
CSAS-119,2008,Vulnerable marine ecosystems dominated by deep-water corals and sponges in the NAFO convention area,"Fuller, S.D., Murillo, F.J., Wareham, V., and Kenchington, E. 2008. Vulnerable marine ecosystems dominated by deep-water corals and sponges in the NAFO convention area. NAFO SCR Doc. 08/22.",NO,,PRESENT,CWC-D6E43605B84F,Vulnerable Marine Ecosystems Dominated by Deep-Water Corals and Sponges in the NAFO ConventionArea,0.897,fuzzy title/year,
CSAS-120,2005,Fishermen help recording the black coral from Canada,"Gass, S.E. 2005. Fishermen help recording the black coral from Canada. In Deep-Sea Newsletter. No. 34, June 2005.",NO,,NOT FOUND,,,0.333,no match above 0.84 threshold within publication year +/- 1,
CSAS-121,2006,"The occurrence of the cold-water coral Lophelia pertusa (Scleractinia) on oil and gas platforms in the North Sea: Colony growth, recruitment and environmental controls on distribution","Gass, S.E., and Roberts, J.M. 2006. The occurrence of the cold-water coral Lophelia pertusa (Scleractinia) on oil and gas platforms in the North Sea: Colony growth, recruitment and environmental controls on distribution. Mar. Pollut. Bull. 52: 549–559.",NO,,PRESENT,CWC-68E92EED76A2,"The occurrence of the cold-water coral Lophelia pertusa (Scleractinia) on oil and gas platforms in the North Sea: Colony growth, recruitment and environmental controls on distribution",1.0,normalized title contained in CSAS reference,
CSAS-122,2005,An assessment of the distribution of deep-sea corals in Atlantic Canada by using both scientific and local forms of knowledge,"Gass, S.E., and Willison, J.H.M. 2005. An assessment of the distribution of deep-sea corals in Atlantic Canada by using both scientific and local forms of knowledge. In Cold-Water Corals and Ecosystems. Edited by A. Freiwald and J.M. Roberts. Springer Berlin Heidelberg. pp. 223–245.",NO,,PRESENT,CWC-3143549B8BE9,Cold-Water Corals and Ecosystems,1.0,normalized title contained in CSAS reference,
CSAS-123,2012,Recovery of Benthic Megafauna from Anthropogenic Disturbance at a Hydrocarbon Drilling Well (380 m Depth in the Norwegian Sea),"Gates, A.R., and Jones, D.O.B. 2012. Recovery of Benthic Megafauna from Anthropogenic Disturbance at a Hydrocarbon Drilling Well (380 m Depth in the Norwegian Sea). PLoS ONE. 7(10): e44114.",NO,,PRESENT,CWC-CE1395F728EC,Recovery of Benthic Megafauna from Anthropogenic Disturbance at a Hydrocarbon Drilling Well (380 m Depth in the Norwegian Sea),1.0,normalized title contained in CSAS reference,
CSAS-124,2016,A Review of Advances in Synthetic Aperture Sonar Imaging Algorithms,"George, J., and Vinodkumar, V. 2016. A Review of Advances in Synthetic Aperture Sonar Imaging Algorithms. International Journal of Innovative Research in Electrical, Electronics, Instrumentation and Control Engineering, 3(1): ISSN 2321–2004.",NO,,PRESENT,CWC-034B5B194DB6,C,0.852,fuzzy title/year,
CSAS-125,2009,"The ecology of deep-sea corals of Newfoundland and Labrador waters: biogeography, life history, biogeochemistry, and relation to fishes","Gilkinson, K., and Edinger, E. (eds). 2009. The ecology of deep-sea corals of Newfoundland and Labrador waters: biogeography, life history, biogeochemistry, and relation to fishes. Can. Tech. Rep. Fish. Aquat. Sci. 2830: 136 p.",NO,,NOT FOUND,,,0.516,no match above 0.84 threshold within publication year +/- 1,
CSAS-126,2019,"Physical and hydrodynamic properties of deep sea mining-generated, abyssal sediment plumes in the Clarion Clipperton Fracture Zone (eastern-central Pacific)","Gillard, B., Purkiani, K., Chatzievangelou, D., Vink, A., Iversen, M., and Thomsen, L. 2019. Physical and hydrodynamic properties of deep sea mining-generated, abyssal sediment plumes in the Clarion Clipperton Fracture Zone (eastern-central Pacific). Elementa. 7(5): 1– 14.",NO,,PRESENT,CWC-891D982E002F,"Physical and hydrodynamic properties of deep sea mining-generated, abyssal sediment plumes in the Clarion Clipperton Fracture Zone (eastern-central Pacific)",1.0,normalized title contained in CSAS reference,
CSAS-127,2008,"Recovery of Injured Giant Barrel Sponges, Xestospongia muta, Offshore Southeast Florida","Gilliam, D.S., Walker, B.K., Saelens, S.J., Fahy, D.P., and Kosmynin, V.N. 2008. Recovery of Injured Giant Barrel Sponges, Xestospongia muta, Offshore Southeast Florida. Marine & Environmental Sciences Faculty Proceedings, Presentations, Speeches, Lectures. 55 p.",NO,,NOT FOUND,,,0.462,no match above 0.84 threshold within publication year +/- 1,
CSAS-128,2018,Long-term impact of the Deepwater Horizon oil spill on deep- sea corals detected after seven years of monitoring,"Girard, F., and Fisher, C.R. 2018. Long-term impact of the Deepwater Horizon oil spill on deep- sea corals detected after seven years of monitoring. Biol. Conserv. 225: 117–127.",YES,Organism: coral; exposure/impact: oil spill,NOT FOUND,,,0.438,no match above 0.84 threshold within publication year +/- 1,
CSAS-129,2007,Automated classification of underwater multispectral imagery for coral reef monitoring,"Gleason, A.C.R., Reid, R.P., and Voss, K.J. 2007. Automated classification of underwater multispectral imagery for coral reef monitoring. Presented at the Oceans 2007, p. 1–8. IEEE, Vancouver, BC.",NO,,NOT FOUND,,,0.455,no match above 0.84 threshold within publication year +/- 1,
CSAS-130,2018,Suspended sediment causes feeding current arrests in situ in the glass sponge Aphrocallistes vastus,"Grant, N., Matveev, E., Kahn, A.S., and Leys, S.P. 2018. Suspended sediment causes feeding current arrests in situ in the glass sponge Aphrocallistes vastus. Mar. Environ. Res. 137: 111–120.",YES,Organism: sponge; exposure/impact: sediment,PRESENT,CWC-3BA5EE36CD77,Suspended sediment causes feeding current arrests in situ in the glass sponge Aphrocallistes vastus,1.0,normalized title contained in CSAS reference,
CSAS-131,2019,Effect of suspended sediments on the pumping rates of three species of glass sponge in situ,"Grant, N., Matveev, E., Kahn, A.S., Archer, S.K., Dunham, A., Bannister, R.J., Eerkes-Medrano, D., and Leys, S.P. 2019. Effect of suspended sediments on the pumping rates of three species of glass sponge in situ. Mar. Ecol. Prog. Ser. 615: 79–100.",YES,Organism: sponge; exposure/impact: sediment,PRESENT,CWC-A892DB47932A,Effect of suspended sediments on the pumping rates of three species of glass sponge in situ,1.0,normalized title contained in CSAS reference,
CSAS-132,2016,Species Distribution Modelling of Corals and Sponges from Research Vessel Survey Data in the Newfoundland and Labrador Region for Use in the Identification of Significant Benthic Areas,"Guijarro, J., Beazley, L., Lirette, C., Kenchington, E., Wareham, V., Gilkinson, K., Koen Alonso, M., and Murillo, F.J. 2016. Species Distribution Modelling of Corals and Sponges from Research Vessel Survey Data in the Newfoundland and Labrador Region for Use in the Identification of Significant Benthic Areas. Can. Tech. Rep. Fish. Aquat. Sci. 3171: 126 p.",NO,,PRESENT,CWC-105D3EA801A8,Corals,0.855,fuzzy title/year,
CSAS-133,2017,Predictive distribution modelling of cold-water corals in the Newfoundland and Labrador region,"Gullage, L., Devillers, R., and Edinger, E. 2017. Predictive distribution modelling of cold-water corals in the Newfoundland and Labrador region. Mar. Ecol. Prog. Ser. 582: 57–77.",NO,,PRESENT,CWC-9BF40A2BFE0B,Corals,0.86,fuzzy title/year,
CSAS-134,2015,Range extension of the deep-sea polychaete worm Neopolynoe acanellae in Canada,"Hamel, J.F., Montgomery, E.M., Barnich, R., and Mercier, A. 2015. Range extension of the deep-sea polychaete worm Neopolynoe acanellae in Canada. Mar. Biodivers. Rec. 8: e9.",NO,,PRESENT,CWC-034B5B194DB6,C,0.852,fuzzy title/year,
